top - 22:18:58 up  2:54,  2 users,  load average: 0.91, 1.66, 2.62
Tasks: 436 total,   1 running, 434 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.3 us,  8.7 sy,  0.0 ni, 87.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   6043.6 total,    162.2 free,   5495.4 used,   1515.5 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    548.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  18680 sysadmin  20   0 3162932 304620  34552 S   8.3   4.9   1:21.41 Isolate+
  21281 ubuntu    20   0 2427728  58948  44344 S   8.3   1.0   0:00.93 Isolate+
  23444 root      20   0   23168   5684   3636 R   8.3   0.1   0:00.02 top
      1 root      20   0   23400   8856   4076 S   0.0   0.1   0:29.00 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:03.28 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:19.50 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.07 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.09 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.22 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.77 migrati+
     27 root      20   0       0      0      0 S   0.0   0.0   0:04.60 ksoftir+
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.04 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:06.50 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     55 root       0 -20       0      0      0 I   0.0   0.0   0:01.49 kworker+
     56 root      20   0       0      0      0 S   0.0   0.0   0:26.69 kswapd0
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     58 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     59 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     91 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     92 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     93 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     95 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 I   0.0   0.0   0:01.58 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    129 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    154 root       0 -20       0      0      0 I   0.0   0.0   0:03.00 kworker+
    179 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    180 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    181 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    182 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    183 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
    184 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    185 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    186 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    187 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    191 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    192 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    193 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    194 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    199 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    208 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    230 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    231 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    232 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    238 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    240 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    241 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    242 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    243 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    244 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    246 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    247 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    249 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    250 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    251 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    252 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    253 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    321 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1042 root      19  -1   59576  13432  11640 S   0.0   0.2   0:12.60 systemd+
   1103 root      20   0   32460   4180   1340 S   0.0   0.1   0:04.44 systemd+
   1107 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1172 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/57-+
   1173 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/58-+
   1174 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/59-+
   1187 root     -51   0       0      0      0 S   0.0   0.0   0:21.02 irq/16-+
   1188 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1484 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 spl_sys+
   1485 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 spl_del+
   1486 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 spl_dyn+
   1487 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 spl_kme+
   1488 root       0 -20       0      0      0 S   0.0   0.0   0:00.00 zvol_tq+
   1489 root      20   0       0      0      0 S   0.0   0.0   0:00.00 arc_pru+
   1490 root      20   0       0      0      0 S   0.0   0.0   0:00.61 arc_evi+
   1491 root      39  19       0      0      0 S   0.0   0.0   0:00.47 arc_reap
   1492 root      20   0       0      0      0 S   0.0   0.0   0:00.00 dbu_evi+
   1493 root      39  19       0      0      0 S   0.0   0.0   0:00.46 dbuf_ev+
   1494 root      39  19       0      0      0 S   0.0   0.0   0:00.00 z_vdev_+
   1495 root      20   0       0      0      0 S   0.0   0.0   0:00.51 l2arc_f+
   1593 systemd+  20   0   17868   1952   1056 S   0.0   0.0   0:08.76 systemd+
   1594 systemd+  20   0   21832   4824   2392 S   0.0   0.1   0:06.36 systemd+
   1595 systemd+  20   0   91048   2460   1564 S   0.0   0.0   0:01.46 systemd+
   1835 avahi     20   0    8668   1456   1072 S   0.0   0.0   0:01.77 avahi-d+
   1836 message+  20   0   12768   5016   1304 S   0.0   0.1   0:09.50 dbus-da+
   1839 gnome-r+  20   0  365344   4180   1748 S   0.0   0.1   0:00.26 gnome-r+
   1844 polkitd   20   0  385424   8892   3688 S   0.0   0.1   0:04.89 polkitd
   1847 root      20   0  322044   2076   1436 S   0.0   0.0   0:00.13 power-p+
   1858 root      20   0 1996068  20664   3960 S   0.0   0.3   0:23.52 snapd
   1859 root      20   0  321960   2572   1676 S   0.0   0.0   0:01.51 account+
   1860 root      20   0   18092   1140   1012 S   0.0   0.0   0:00.62 cron
   1863 root      20   0  318496   2088   1448 S   0.0   0.0   0:00.11 switche+
   1867 root      20   0   18312   3440   2416 S   0.0   0.1   0:03.95 systemd+
   1871 root      20   0  102120   1304    408 S   0.0   0.0   0:00.07 zed
   1885 avahi     20   0    8480    628    356 S   0.0   0.0   0:00.00 avahi-d+
   1890 root      20   0  345136   6760   3944 S   0.0   0.1   0:11.97 Network+
   1895 root      20   0   17380   1280    512 S   0.0   0.0   0:01.26 wpa_sup+
   1915 root      20   0  469456   5728   2912 S   0.0   0.1   0:01.48 udisksd
   1980 root      20   0  318296   3708   1788 S   0.0   0.1   0:00.55 ModemMa+
   1989 syslog    20   0  222564   2956    780 S   0.0   0.0   0:03.12 rsyslogd
   2120 root      20   0  120920   9796    452 S   0.0   0.2   0:00.23 unatten+
   2462 kernoops  20   0   12744    828    404 S   0.0   0.0   0:00.23 kernelo+
   2465 kernoops  20   0   12744   1064    640 S   0.0   0.0   0:00.23 kernelo+
   2484 root      20   0  397588   3120   1712 S   0.0   0.1   0:01.23 gdm3
   2525 rtkit     21   1   88476   1804   1548 S   0.0   0.0   0:00.75 rtkit-d+
   2867 colord    20   0  328836   5984   1376 S   0.0   0.1   0:00.64 colord
   2981 root      20   0  325232   3816   2408 S   0.0   0.1   0:00.25 upowerd
   4375 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4382 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsIO
   4383 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
   4384 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
   4385 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsSync
   5149 root      -2   0       0      0      0 S   0.0   0.0   0:00.09 psimon
   5151 root      20   0   18608    584    328 S   0.0   0.0   0:00.42 subiqui+
   5177 root      20   0  643916  71088   2000 S   0.0   1.1   0:26.43 python3+
   8210 root      20   0  610120  22228  15672 S   0.0   0.4   0:07.47 fwupd
   8235 root      20   0  100840    524    256 S   0.0   0.0   0:00.00 gpg-age+
   9879 root      20   0   46872   2836    788 S   0.0   0.0   0:00.56 cupsd
   9885 cups-br+  20   0  268348   3612    668 S   0.0   0.1   0:00.92 cups-br+
  12301 root       0 -20       0      0      0 I   0.0   0.0   0:00.01 kworker+
  13009 root      20   0  324980   3320   1784 S   0.0   0.1   0:00.46 gdm-ses+
  13023 ubuntu    20   0   21184   6284   3228 S   0.0   0.1   0:01.45 systemd
  13026 ubuntu    20   0   21460   2232    428 S   0.0   0.0   0:00.00 (sd-pam)
  13037 ubuntu     9 -11  126128   9960   2724 S   0.0   0.2   0:12.82 pipewire
  13042 ubuntu    20   0  106404   1188    420 S   0.0   0.0   0:00.02 pipewire
  13047 ubuntu     9 -11  415608   8572   3580 S   0.0   0.1   0:01.34 wireplu+
  13048 ubuntu     9 -11  126716  10128   4880 S   0.0   0.2   0:00.92 pipewir+
  13054 ubuntu    20   0   10676   3608   1816 S   0.0   0.1   0:01.21 dbus-da+
  13055 ubuntu    20   0  325152   3284   2260 S   0.0   0.1   0:00.17 gnome-k+
  13095 ubuntu    20   0  769520   3504   2864 S   0.0   0.1   0:00.14 xdg-doc+
  13100 ubuntu    20   0  317976   2828   2316 S   0.0   0.0   0:00.04 xdg-per+
  13107 root      20   0    2704    476    476 S   0.0   0.0   0:00.00 fusermo+
  13148 ubuntu    20   0  244380    880    496 S   0.0   0.0   0:00.02 gdm-x-s+
  13151 ubuntu    20   0  337552  42132  12884 S   0.0   0.7   1:38.65 Xorg
  13164 ubuntu    20   0  306904   2472    552 S   0.0   0.0   0:00.23 gnome-s+
  13245 ubuntu    20   0   39136   1656    248 S   0.0   0.0   0:00.15 snapd-d+
  13297 ubuntu    20   0  560652  24228   3176 S   0.0   0.4   0:01.40 snapd-d+
  13299 ubuntu    20   0  383000   3192   2552 S   0.0   0.1   0:00.02 at-spi-+
  13306 ubuntu    20   0    9480   1852   1340 S   0.0   0.0   0:00.15 dbus-da+
